idx,model,e,se,sweep,orca,sfm,linear,static,scenario,dx_lo,dx_hi,dy_lo,dy_hi,spawn_width_x,spawn_width_y,human_count,mix_label,success_rate,success_std,collision_rate,collision_std,timeout_rate,timeout_std,avg_nav_time,nav_time_std,avg_min_dist,min_dist_std,avg_accel,avg_accel_std,avg_min_dist_overall,min_dist_overall_std,avg_path_irregularity,avg_path_irregularity_std,density_x,geometry_x
10,RGL,1,3,geometry,3,3,0,0,passing_crossing,-1.5,1.5,-5,5,3.0,10,6,O3/SF3/L0/S0,0.654,0.4756931784249171,0.346,0.4756931784249171,0.0,0.0,13.48776758409786,3.4912849427520873,0.8830885120109796,1.1682630575958726,2.003512465101179,0.023155206493795405,0.6928399406478325,0.08208799475096946,3.8536865991914033,1.3078317689280343,0.06,3.0
11,RGL,1,4,geometry,3,4,0,0,passing_crossing,-1.75,1.75,-5,5,3.5,10,7,O3/SF4/L0/S0,0.7,0.45825756949558405,0.3,0.458257569495584,0.0,0.0,13.395714285714286,3.3002461256391036,0.9326109254122438,0.9566681588547673,2.0708567381127927,0.10362980541355869,0.710406346209718,0.08340280892170972,3.6728639261090303,1.2512839143450074,0.07,3.5
12,RGL,1,5,geometry,4,4,0,0,passing_crossing,-2.0,2.0,-5,5,4.0,10,8,O4/SF4/L0/S0,0.782,0.4128873938497033,0.218,0.4128873938497033,0.0,0.0,12.737212276214834,2.8965810436897135,1.0194474764591983,0.6507285111063155,1.9850292178830746,0.08928502329447556,0.7231602711544454,0.09951856904259085,3.301094576307443,1.1173453170800216,0.08,4.0
13,RGL,1,6,geometry,4,5,0,0,passing_crossing,-2.25,2.25,-5,5,4.5,10,9,O4/SF5/L0/S0,0.824,0.380820167533181,0.176,0.380820167533181,0.0,0.0,12.967233009708737,2.951697572136577,1.0500630206450554,0.5186380687674886,2.0389658523688174,0.04724352377479963,0.7234343152873874,0.09170576169755844,3.293108208878129,1.102134514917745,0.09,4.5
14,RGL,2,0,directionality,7,8,0,0,passing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.978,0.1466833323864713,0.022,0.14668333238647122,0.0,0.0,9.19478527607362,1.4153946189345028,1.391216585160296,0.05963849271569321,1.291656843432011,0.061930563996526154,0.8442592425803062,0.1432930638073535,1.4446139001983087,0.6636941467431148,0.15,10.0
15,RGL,2,1,directionality,7,8,0,0,crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.896,0.3052605444534226,0.104,0.3052605444534226,0.0,0.0,13.732700892857142,2.948990986609887,1.0683725533507147,0.2647308672865183,2.2108392447405647,0.028242288765245423,0.7132071648540135,0.07936271461896985,3.285461436036125,0.775717471957667,0.15,10.0
16,RGL,2,2,directionality,7,8,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.916,0.2773878151613729,0.084,0.27738781516137295,0.0,0.0,11.571506550218341,2.4175692710009566,1.1230057815722703,0.22086166089908635,1.9704296428446153,0.03362726086488724,0.7359625700083524,0.08698111175653858,2.532049662546501,0.855537518768238,0.15,10.0
17,RGL,2,3,directionality,7,8,0,0,random,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.936,0.24475293665245357,0.064,0.24475293665245368,0.0,0.0,12.168803418803419,2.5359759875083756,1.1361954059341934,0.15758761239075517,2.058527567954614,0.047453357892988414,0.7192835548535546,0.07895779023450586,2.76278230370806,0.818778311975337,0.15,10.0
18,RGL,2,4,directionality,7,8,0,0,circle_crossing,-5.0,5.0,-6,6,10.0,12,15,O7/SF8/L0/S0,0.664,0.47233886141201636,0.336,0.47233886141201636,0.0,0.0,13.225150602409638,2.8598579733828244,0.7418688067690031,0.9689638372826548,2.063734134039359,0.07698624422510707,0.7071345940630341,0.08715769744405122,3.0852395105458688,0.822016899758764,0.15,10.0
19,RGL,3,0,policy_mixture,0,15,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O0/SF15/L0/S0,0.912,0.2832948993540123,0.088,0.28329489935401236,0.0,0.0,14.46546052631579,3.5288266225156426,1.1569910515858128,0.2564072317541999,2.525624166920837,0.045885418185378876,0.7140315095183242,0.08039677695259366,3.315719198740432,0.8439172954790325,0.15,10.0
20,RGL,3,1,policy_mixture,15,0,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O15/SF0/L0/S0,0.982,0.1329511188369621,0.018,0.132951118836962,0.0,0.0,9.535641547861507,1.7808246979165643,1.1605613121265348,0.044710783669879406,1.2088915997823921,0.028067860632542657,0.7668157760661225,0.0846255964528057,1.6614071864907218,0.8276285808189829,0.15,10.0
21,RGL,3,2,policy_mixture,7,8,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.938,0.24115555146004838,0.062,0.2411555514600483,0.0,0.0,11.805970149253731,2.606103743916505,1.1230532216639417,0.145940188993564,2.0193931514046826,0.046025580482197265,0.7318126153244626,0.08502114395119272,2.6156299333722632,0.8714457583424143,0.15,10.0
22,RGL,3,3,policy_mixture,5,5,2,3,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O5/SF5/L2/S3,0.91,0.28618176042508364,0.078,0.2681715868618449,0.012,0.10888526071052959,11.768131868131869,2.979568857404942,1.1470792081753305,0.20928138046243233,1.9286881228702308,0.06067647450972464,0.7367154116975223,0.08947474365122288,2.586334723760895,0.8923982305830561,0.1,10.0
23,RGL,3,4,policy_mixture,4,4,4,3,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O4/SF4/L4/S3,0.896,0.3052605444534226,0.09,0.2861817604250837,0.014,0.11749042514179613,12.5,3.680721675646154,1.1533280086919047,0.24571434539353385,2.101825802712308,0.07130423338782917,0.7249128797937782,0.08598725394096779,2.768614667626527,0.9902214384103775,0.08,10.0
